Aluno_1,2,16,1,49,18
Aluno_2,3,16,1,10,18
Aluno_3,5,44,2,76,14
Aluno_4,1,59,2,89,4
Aluno_5,3,22,2,53,8
Aluno_6,4,27,3,70,9
Aluno_7,5,17,3,59,8
Aluno_8,5,26,3,72,22
Aluno_9,5,20,4,25,19
Aluno_10,2,25,4,49,14
Aluno_11,1,43,4,22,16
Aluno_12,4,33,4,3,8
Aluno_13,2,12,1,28,12
Aluno_14,4,38,1,39,22
Aluno_15,3,59,2,21,17
Aluno_16,1,20,4,24,16
Aluno_17,5,19,1,71,3
Aluno_18,3,28,2,48,17
Aluno_19,2,47,1,41,13
Aluno_20,2,42,4,28,20
Aluno_21,5,51,1,87,15
Aluno_22,1,53,1,37,16
Aluno_23,5,52,4,89,19
Aluno_24,1,47,4,76,2
Aluno_25,4,25,4,54,6
Aluno_26,3,60,4,8,5
Aluno_27,3,38,1,76,17
Aluno_28,2,26,2,89,17
Aluno_29,4,46,4,55,5
Aluno_30,4,13,4,1,17
Aluno_31,1,60,3,52,17
Aluno_32,3,24,3,56,11
Aluno_33,1,24,4,34,12
Aluno_34,3,59,3,54,21
Aluno_35,1,13,3,77,22
Aluno_36,4,35,4,54,14
Aluno_37,4,35,4,81,19
Aluno_38,1,57,4,89,1
Aluno_39,1,10,2,6,21
Aluno_40,4,17,4,28,0
Aluno_41,1,37,3,15,9
Aluno_42,5,40,3,12,17
Aluno_43,2,27,3,23,17
Aluno_44,2,23,4,70,11
Aluno_45,1,43,3,8,16
Aluno_46,5,41,3,10,9
Aluno_47,5,37,1,73,14
Aluno_48,1,11,4,85,16
Aluno_49,4,43,2,62,0
Aluno_50,4,20,4,39,19
Aluno_51,1,32,2,11,10
Aluno_52,5,20,2,21,20
Aluno_53,3,56,3,79,10
Aluno_54,2,33,2,16,6
Aluno_55,4,22,4,48,3
Aluno_56,1,43,2,50,21
Aluno_57,4,31,3,38,6
Aluno_58,5,36,3,36,1
Aluno_59,1,22,4,19,17
Aluno_60,2,15,4,37,0
Aluno_61,2,30,3,10,5
Aluno_62,1,23,2,1,16
Aluno_63,2,60,1,9,15
Aluno_64,1,20,2,67,4
Aluno_65,4,39,1,68,20
Aluno_66,3,12,4,68,21
Aluno_67,5,52,4,87,9
Aluno_68,2,57,4,47,3
Aluno_69,3,57,2,8,21
Aluno_70,5,24,3,42,13
Aluno_71,5,18,4,23,4
Aluno_72,3,36,4,62,11
Aluno_73,3,43,2,66,23
Aluno_74,2,43,4,22,16
Aluno_75,2,36,2,52,12
Aluno_76,1,11,4,27,16
Aluno_77,1,21,1,14,14
Aluno_78,3,47,1,38,3
Aluno_79,3,40,4,27,11
Aluno_80,4,28,4,32,7
Aluno_81,3,48,3,11,20
Aluno_82,2,49,2,16,23
Aluno_83,5,44,2,72,16
Aluno_84,2,46,1,9,0
Aluno_85,4,54,1,44,10
Aluno_86,4,10,4,34,23
Aluno_87,3,41,1,62,9
Aluno_88,4,17,1,76,2
Aluno_89,4,24,4,87,17
Aluno_90,3,33,4,45,18
Aluno_91,2,47,4,64,6
Aluno_92,2,38,4,29,8
Aluno_93,5,51,1,46,9
Aluno_94,5,18,3,38,16
Aluno_95,2,17,3,32,18
Aluno_96,3,20,4,46,7
Aluno_97,4,57,2,27,17
Aluno_98,3,22,3,23,9
Aluno_99,5,50,2,30,19
Aluno_100,5,26,2,60,15

Aluno_1,1,16,1,49,18
Aluno_2,1,16,1,10,18
Aluno_3,5,44,2,76,14
Aluno_4,3,59,2,89,4
Aluno_5,1,22,2,53,8
Aluno_6,5,27,3,70,9
Aluno_7,2,17,3,59,8
Aluno_8,2,26,3,72,22
Aluno_9,4,20,4,25,19
Aluno_10,2,25,4,49,14
Aluno_11,2,43,4,22,16
Aluno_12,4,33,4,3,8
Aluno_13,5,12,1,28,12
Aluno_14,1,38,1,39,22
Aluno_15,3,59,2,21,17
Aluno_16,4,20,4,24,16
Aluno_17,2,19,1,71,3
Aluno_18,5,28,2,48,17
Aluno_19,1,47,1,41,13
Aluno_20,4,42,4,28,20
Aluno_21,3,51,1,87,15
Aluno_22,5,53,1,37,16
Aluno_23,4,52,4,89,19
Aluno_24,4,47,4,76,2
Aluno_25,5,25,4,54,6
Aluno_26,2,60,4,8,5
Aluno_27,5,38,1,76,17
Aluno_28,1,26,2,89,17
Aluno_29,4,46,4,55,5
Aluno_30,2,13,4,1,17
Aluno_31,5,60,3,52,17
Aluno_32,5,24,3,56,11
Aluno_33,4,24,4,34,12
Aluno_34,1,59,3,54,21
